Question,Answer,Source,Verb,Target
What is the relationship between a delete query and a record?,record type,a delete query,delete,a record
Explain the connection between a delete query and a record.,record is a type of record,a delete query,delete,a record
How are a delete query and a record related?,record is deleted,a delete query,delete,a record
What does a delete query delete?,record,a delete query,delete,a record
Who or what delete a record?,query,a delete query,delete,a record
What is the relationship between a rootkit and log files?,instance of,a rootkit,access,log files
Explain the connection between a rootkit and log files.,rootkit is a software program that tries to access a computer's log files.,a rootkit,access,log files
How are a rootkit and log files related?,rootkit,a rootkit,access,log files
What does a rootkit access?,log files,a rootkit,access,log files
Who or what access log files?,rootkit,a rootkit,access,log files
What is the relationship between kitchen appliances and seamless computer science?,hardware,kitchen appliances,object,seamless computer science
Explain the connection between kitchen appliances and seamless computer science.,kitchen appliances,kitchen appliances,object,seamless computer science
How are kitchen appliances and seamless computer science related?,kitchen appliances,kitchen appliances,object,seamless computer science
What objects seamless computer science?,kitchen appliances,kitchen appliances,object,seamless computer science
What does kitchen appliances object?,seamless computer science,kitchen appliances,object,seamless computer science
Who or what objects seamless computer science?,kitchen appliances,kitchen appliances,object,seamless computer science
What is the relationship between people and data?,access,people,access,data
Explain the connection between people and data.,data is a form of information,people,access,data
How are people and data related?,people access data,people,access,data
Who or what access data?,people,people,access,data
What is the relationship between different places and hospital?,instance of,different places,like,hospital
Explain the connection between different places and hospital.,hospitals are a type of health care system.,different places,like,hospital
How are different places and hospital related?,places and hospital are related,different places,like,hospital
What does different places like?,hospital,different places,like,hospital
Who or what likes hospital?,different places,different places,like,hospital
What is the relationship between the device fire and the machine theft?,fire source,the device fire,burn,the machine theft
Explain the connection between the device fire and the machine theft.,the machine theft,the device fire,burn,the machine theft
How are the device fire and the machine theft related?,device fire,the device fire,burn,the machine theft
What burns the machine theft?,device fire,the device fire,burn,the machine theft
What does the device fire burn?,theft,the device fire,burn,the machine theft
Who or what burns the machine theft?,device fire,the device fire,burn,the machine theft
What is the relationship between decimal and the following steps?,is a measure of the number of decimals in a number,decimal,follow,the following steps
Explain the connection between decimal and the following steps.,is a measure of the number of digits in a number.,decimal,follow,the following steps
How are decimal and the following steps related?,is the number of decimals in a decimal system.,decimal,follow,the following steps
What follows the following steps?,dividing a number by itself is a decimal.,decimal,follow,the following steps
Who or what follows the following steps?,a decimal,decimal,follow,the following steps
What is the relationship between storing records and a data file?,instance of,storing records,open,a data file
Explain the connection between storing records and a data file.,data file is a type of data file.,storing records,open,a data file
How are storing records and a data file related?,data file is a type of data file.,storing records,open,a data file
What opens a data file?,storing records,storing records,open,a data file
What does storing records open?,data file,storing records,open,a data file
Who or what opens a data file?,storing records,storing records,open,a data file
What is the relationship between bus topology and a segment?,is a component of a bus,bus topology,use,a segment
Explain the connection between bus topology and a segment.,bus topology use a segment,bus topology,use,a segment
How are bus topology and a segment related?,bus topology use a segment,bus topology,use,a segment
What does bus topology use?,segment,bus topology,use,a segment
What is the relationship between the government and the former policy?,revise,the government,revise,the former policy
Explain the connection between the government and the former policy.,the government revise the former policy,the government,revise,the former policy
How are the government and the former policy related?,the government revise the former policy,the government,revise,the former policy
What revised the former policy?,the government,the government,revise,the former policy
What does the government revise?,the former policy,the government,revise,the former policy
Who or what revised the former policy?,the government,the government,revise,the former policy
What is the relationship between many operating systems and features?,software,many operating systems,build,features
Explain the connection between many operating systems and features.,software,many operating systems,build,features
How are many operating systems and features related?,many operating systems and features,many operating systems,build,features
What does many operating systems build?,features,many operating systems,build,features
Who or what build features?,operating systems,many operating systems,build,features
What is the relationship between mail programs and eudora?,is a software package,mail programs,like,eudora
Explain the connection between mail programs and eudora.,eudora is a mail program,mail programs,like,eudora
How are mail programs and eudora related?,software,mail programs,like,eudora
What does mail programs like?,eudora,mail programs,like,eudora
Who or what likes eudora?,mail programs,mail programs,like,eudora
What is the relationship between the below steps and a data file?,is a list of,the below steps,open,a data file
Explain the connection between the below steps and a data file.,Navigate to the data file you want to open.,the below steps,open,a data file
How are the below steps and a data file related?,"To open a data file, first open it in a new window.",the below steps,open,a data file
What opens a data file?,the following steps,the below steps,open,a data file
What does the below steps open?,Navigate to the data file you want to open.,the below steps,open,a data file
Who or what opens a data file?,the below steps,the below steps,open,a data file
What is the relationship between vowels declare function and a cls input type?,is a list of words that have the same meaning,vowels declare function,count,a cls input type
Explain the connection between vowels declare function and a cls input type.,vowels,vowels declare function,count,a cls input type
How are vowels declare function and a cls input type related?,vowels declare function count a cls input type,vowels declare function,count,a cls input type
What counts a cls input type?,vowels,vowels declare function,count,a cls input type
What does vowels declare function count?,a cls input type,vowels declare function,count,a cls input type
Who or what counts a cls input type?,vowels,vowels declare function,count,a cls input type
What is the relationship between cybercriminals and a computer s data?,data source,cybercriminals,wipe,a computer s data
Explain the connection between cybercriminals and a computer s data.,cybercriminals wipe a computer s data,cybercriminals,wipe,a computer s data
How are cybercriminals and a computer s data related?,cybercriminals wipe a computer s data,cybercriminals,wipe,a computer s data
What wiped a computer s data?,cybercriminals,cybercriminals,wipe,a computer s data
Who or what wiped a computer s data?,cybercriminals,cybercriminals,wipe,a computer s data
What is the relationship between cyber law and the legal issues?,instance of,cyber law,describe,the legal issues
Explain the connection between cyber law and the legal issues.,cyber law is a branch of law.,cyber law,describe,the legal issues
How are cyber law and the legal issues related?,cyber law describe the legal issues,cyber law,describe,the legal issues
What describes the legal issues?,cyber law,cyber law,describe,the legal issues
What does cyber law describe?,legal issues,cyber law,describe,the legal issues
Who or what describes the legal issues?,cyber law,cyber law,describe,the legal issues
What is the relationship between a rem and all the records?,display,a rem,display,all the records
Explain the connection between a rem and all the records.,display,a rem,display,all the records
How are a rem and all the records related?,display,a rem,display,all the records
What does a rem display?,records,a rem,display,all the records
What is the relationship between networking and the facility?,provides,networking,provide,the facility
Explain the connection between networking and the facility.,provides the facility,networking,provide,the facility
How are networking and the facility related?,networking provides the facility,networking,provide,the facility
What is the relationship between end b library functions and any string value?,input data,end b library functions,type,any string value
Explain the connection between end b library functions and any string value.,end b library functions type any string value,end b library functions,type,any string value
How are end b library functions and any string value related?,end b library functions,end b library functions,type,any string value
What types any string value?,end b library functions,end b library functions,type,any string value
What does end b library functions type?,any string value,end b library functions,type,any string value
Who or what types any string value?,end b library functions,end b library functions,type,any string value
What is the relationship between legal provisions and assurance?,mutually exclusive,legal provisions,provide,assurance
Explain the connection between legal provisions and assurance.,legal provisions are a form of assurance.,legal provisions,provide,assurance
How are legal provisions and assurance related?,legal provisions provide assurance,legal provisions,provide,assurance
What does legal provisions provide?,assurance,legal provisions,provide,assurance
What is the relationship between grade 10 project work and the following tasks?,is a part of,grade 10 project work,accomplish,the following tasks
Explain the connection between grade 10 project work and the following tasks.,work on a science project,grade 10 project work,accomplish,the following tasks
How are grade 10 project work and the following tasks related?,Make a list of all the things you need to do to complete a project.,grade 10 project work,accomplish,the following tasks
What accomplish the following tasks?,A student is putting a piece of paper on a table.,grade 10 project work,accomplish,the following tasks
What does grade 10 project work accomplish?,the following tasks,grade 10 project work,accomplish,the following tasks
Who or what accomplish the following tasks?,The teacher,grade 10 project work,accomplish,the following tasks
