Question,Answer,Source,Verb,Target
What is the relationship between positive catalyst and the rate?,increase,positive catalyst,increase,the rate
Explain the connection between positive catalyst and the rate.,increase the rate,positive catalyst,increase,the rate
How are positive catalyst and the rate related?,increase the rate,positive catalyst,increase,the rate
What does positive catalyst increase?,rate,positive catalyst,increase,the rate
Who or what increases the rate?,positive catalyst,positive catalyst,increase,the rate
What is the relationship between thicker wall and sufficient force?,is proportional to,thicker wall,provide,sufficient force
Explain the connection between thicker wall and sufficient force.,wall thickness,thicker wall,provide,sufficient force
How are thicker wall and sufficient force related?,the wall provides sufficient force,thicker wall,provide,sufficient force
What does thicker wall provide?,sufficient force,thicker wall,provide,sufficient force
What is the relationship between retina and its image?,shape,retina,form,its image
Explain the connection between retina and its image.,the brain,retina,form,its image
How are retina and its image related?,The retina forms its image.,retina,form,its image
Who or what forms its image?,retina,retina,form,its image
What is the relationship between incineration incineration and the wastes?,burns,incineration incineration,burn,the wastes
Explain the connection between incineration incineration and the wastes.,incineration incineration burns the wastes,incineration incineration,burn,the wastes
How are incineration incineration and the wastes related?,incineration incineration burn the wastes,incineration incineration,burn,the wastes
What does incineration incineration burn?,wastes,incineration incineration,burn,the wastes
Who or what burns the wastes?,incineration,incineration incineration,burn,the wastes
What is the relationship between the centromere and the chromosome?,divide,the centromere,divide,the chromosome
Explain the connection between the centromere and the chromosome.,chromosome,the centromere,divide,the chromosome
How are the centromere and the chromosome related?,the centromere divide the chromosome,the centromere,divide,the chromosome
What does the centromere divide?,chromosome,the centromere,divide,the chromosome
Who or what divides the chromosome?,centromere,the centromere,divide,the chromosome
What is the relationship between food and energy?,is a source of energy,food,supply,energy
Explain the connection between food and energy.,food is a source of energy.,food,supply,energy
How are food and energy related?,food is a source of energy,food,supply,energy
Who or what supply energy?,food,food,supply,energy
What is the relationship between convex lens and clear image?,optical properties,convex lens,produce,clear image
Explain the connection between convex lens and clear image.,optical properties,convex lens,produce,clear image
How are convex lens and clear image related?,convex lens,convex lens,produce,clear image
What does convex lens produce?,clear image,convex lens,produce,clear image
Who or what produces clear image?,convex lens,convex lens,produce,clear image
What is the relationship between mention and the myths?,is a collection of myths,mention,mention,the myths
Explain the connection between mention and the myths.,myths,mention,mention,the myths
How are mention and the myths related?,myths,mention,mention,the myths
Who or what mentions the myths?,the myths,mention,mention,the myths
What is the relationship between purine and foods?,is a metabolite,purine,contain,foods
